run1,run2,jaccard_edge_similarity
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_3_hydroxypropionic acid_(1),0.2608695652173913
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_3_hydroxypropionic acid_(2),0.16
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_acetoin_(18),0.16666666666666666
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_acetoin_(19),0.22727272727272727
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_acetoin_(20),0.18181818181818182
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_glycerol_(3),0.09090909090909091
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_glycerol_(4),0.16666666666666666
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_glycerol_(5),0.19047619047619047
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_glycerol_(6),0.13043478260869565
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_glycerol_(7),0.18181818181818182
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_lactic acid_(10),0.17391304347826086
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_lactic acid_(8),0.21739130434782608
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_lactic acid_(9),0.0
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_malonic acid_(11),0.06896551724137931
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_malonic acid_(12),0.038461538461538464
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_propionic acid_(13),0.19047619047619047
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_serine_(14),0.18181818181818182
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_serine_(15),0.22727272727272727
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184253_corn stover_to_serine_(16),0.18181818181818182
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184528_corn stover_to_arabitol_(15),0.07407407407407407
20241209_184253_corn stover_to_3_hydroxy butyrolactone_(17),20241209_184528_corn stover_to_arabitol_(16),0.08333333333333333
