run1,run2,jaccard_edge_similarity
20241209_000851_corn stover_to_ethanol_(1),20241209_000851_corn stover_to_ethanol_(10),0.24
20241209_000851_corn stover_to_ethanol_(1),20241209_000851_corn stover_to_ethanol_(2),0.16
20241209_000851_corn stover_to_ethanol_(1),20241209_000851_corn stover_to_ethanol_(3),0.2
20241209_000851_corn stover_to_ethanol_(1),20241209_000851_corn stover_to_ethanol_(4),0.17391304347826086
20241209_000851_corn stover_to_ethanol_(1),20241209_000851_corn stover_to_ethanol_(5),0.35
20241209_000851_corn stover_to_ethanol_(1),20241209_000851_corn stover_to_ethanol_(6),0.29411764705882354
20241209_000851_corn stover_to_ethanol_(1),20241209_000851_corn stover_to_ethanol_(7),0.4
20241209_000851_corn stover_to_ethanol_(1),20241209_000851_corn stover_to_ethanol_(8),0.3
20241209_000851_corn stover_to_ethanol_(1),20241209_000851_corn stover_to_ethanol_(9),0.25
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(1),0.36363636363636365
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(10),0.2608695652173913
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(11),0.22727272727272727
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(12),0.35
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(13),0.2727272727272727
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(14),0.23809523809523808
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(15),0.17391304347826086
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(16),0.3888888888888889
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(17),0.22727272727272727
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(18),0.23809523809523808
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(19),0.16666666666666666
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(2),0.21739130434782608
20241209_000851_corn stover_to_ethanol_(1),20241209_001652_corn stover_to_ethanol_(20),0.17391304347826086
